segment_value,accounts,matured_accounts,bad_accounts,ead,expected_loss,avg_pd,segment_variable,default_rate_matured,ead_share,el_share,concentration_flag
C,460588,447086,113752,5984514900,709918101.0288359,0.25999495541942214,fico_band,0.25442979650447567,0.3081989818569371,0.4639874415631717,High concentration
B,608501,585000,116385,9090548850,668816571.9910669,0.19614483869277285,fico_band,0.19894871794871796,0.4681578953192598,0.43712435232100255,High concentration
A-,201591,189380,24555,3183004200,122904848.94350615,0.1225561133571722,fico_band,0.12965994297180272,0.1639228358653355,0.08032800732135321,Normal
A+,76984,70038,5703,1159580950,28388752.381506164,0.08756441207128386,fico_band,0.08142722522059453,0.059717733875255266,0.018554287554544847,Normal
D,17,17,8,49575,9044.417689556947,0.3317074291315068,fico_band,0.47058823529411764,2.5530832124016696e-06,5.91123992771071e-06,Normal
60k-100k,480139,459854,89086,7658339900,602235759.1766043,0.19462558101214766,income_band,0.19372670456275254,0.39440008206226973,0.39360862835456123,High concentration
30k-60k,510781,493217,109297,5637141475,503956736.19541746,0.2180793106166751,income_band,0.2216002287025792,0.2903095304423122,0.32937552555020333,High concentration
100k-150k,186423,176524,29368,3726043900,257148037.7140487,0.1726538466652187,income_band,0.16636831252407605,0.19188910901272738,0.16806655012827362,Normal
150k+,75786,70551,10568,1780078650,107761307.97631764,0.15526714491093455,income_band,0.14979234879732392,0.0916730224571639,0.07043052488321852,Normal
<=30k,94551,91374,22084,616089550,58935144.39239352,0.23020163367009056,income_band,0.24168800752949415,0.03172825602552674,0.038518771083743374,Normal
debt_consolidation,781206,752552,160632,11893122000,979008407.7144076,0.20882671092122648,purpose,0.21344970181462544,0.612488756858194,0.6398591692561894,High concentration
credit_card,295551,284183,48634,4375482650,334093147.74714637,0.19434584694454082,purpose,0.1711362044879532,0.22533477155561815,0.21835620847296675,High concentration
home_improvement,87684,83179,14938,1239111700,79544749.651517,0.17103914028638564,purpose,0.1795885980836509,0.06381352051559241,0.05198876437592232,Normal
other,78263,72874,15534,767930650,58199584.70271775,0.19879711056588392,purpose,0.2131624447676812,0.03954797480189011,0.038038016451641725,Normal
major_purchase,29543,27738,5147,349124950,22167803.2316653,0.17211790771507507,purpose,0.18555771865311124,0.017979728671216787,0.014488406890358194,Normal
small_business,15575,15007,4470,243466000,17754970.670254145,0.19397692815244974,purpose,0.2978609982008396,0.012538355166728894,0.011604272949769106,Normal
medical,15606,14578,3197,140297975,10707780.502552683,0.20188759214728713,purpose,0.21930305940458225,0.007225262828168414,0.006998378648183852,Normal
car,14647,13872,2059,129434075,8418146.23404758,0.1666046882084656,purpose,0.1484284890426759,0.006665778396273094,0.005501922162823867,Normal
house,7294,6300,1420,111995475,7579058.645773278,0.18259715684462052,purpose,0.2253968253968254,0.005767700798536579,0.004953512278970248,Normal
moving,9520,9019,2124,74760275,6018198.763332231,0.20884796552591037,purpose,0.23550282736445283,0.003850109996107559,0.00393336730387685,Normal
vacation,9083,8550,1653,56215325,4197242.299800103,0.19557923325398874,purpose,0.19333333333333333,0.002895056026973351,0.0027432287097379827,Normal
wedding,2350,2348,291,24594750,1456806.3788578084,0.15847637809288465,purpose,0.12393526405451448,0.001266615095072435,0.0009521378080084865,Normal
renewable_energy,936,898,216,9364050,718359.1405364048,0.20027547916038974,purpose,0.24053452115812918,0.0004822430429670167,0.0004695043262849087,Normal
educational,423,423,88,2798600,173063.07999654714,0.17197296556749694,purpose,0.20803782505910165,0.00014412624666116616,0.00011311036526645596,Normal
D - High,404304,391570,88217,5550822325,526945104.92144275,0.22520926564990093,risk_grade,0.22529049722910335,0.2858640704585356,0.34440016492382153,High concentration
E - Very High,269536,261015,78630,3551683325,466496044.2619922,0.30122685232731017,risk_grade,0.3012470547669674,0.18290959299696305,0.3048919386092256,High concentration
C - Watch,269536,258759,47457,3842894375,269744161.6731733,0.1834011143116742,risk_grade,0.18340231644116725,0.19790679003217965,0.17629907347052487,Normal
B - Moderate,269536,255787,35497,4294368650,211214411.77164474,0.13873279047448162,risk_grade,0.13877562190416246,0.22115744847562321,0.1380452680346786,High concentration
A - Low,134769,124390,10602,2177929800,55637596.13435164,0.08523193182731731,risk_grade,0.08523193182731731,0.11216209803669845,0.03636355496174939,Normal
CA,196805,188609,37327,2886747675,225287046.2645552,0.1989331718976887,state,0.19790678069445256,0.14866579984835201,0.14724284401556478,Normal
TX,110307,105719,21157,1674091450,131062759.59206027,0.20049324901321428,state,0.20012485929681514,0.08621472066606493,0.085659845014797,Normal
NY,110075,105941,23433,1573354275,121319281.98041344,0.1965882303017805,state,0.2211891524527803,0.08102681566642259,0.07929171432140533,Normal
FL,95815,91493,19815,1314572825,106029094.44124916,0.2052493293839945,state,0.2165739455477468,0.06769972387265634,0.06929837144560543,Normal
IL,51858,50022,9149,762927425,59140069.98982563,0.19813108094262205,state,0.18289952420934788,0.039290311670163065,0.0386526977248204,Normal
NJ,48576,46804,9991,736348875,56381012.36682207,0.19564127695888117,state,0.2134646611400735,0.03792153204706718,0.03684943607285304,Normal
PA,45640,43880,9218,640051250,51008930.24188203,0.20242080261799178,state,0.2100729261622607,0.032962261249656157,0.033338356925264254,Normal
