sample,model_name,rows,observed_default_rate,average_pd_or_score,calibration_gap,auc,gini,ks,brier_score
train_pre_2016,Coarse-binned expanded WOE formula,183002,0.16161572004677544,0.16161572004677544,0.0,0.7505063686752433,0.5010127373504867,0.37897705646563284,0.1167909741016211
validation_2016,Coarse-binned expanded WOE formula,85177,0.17844018925296734,0.14518938559892625,0.033250803654041095,0.7443361754454458,0.48867235089089167,0.3617043508289281,0.12782898727512512
test_2017,Coarse-binned expanded WOE formula,46369,0.1570661433285169,0.14091296823209973,0.01615317509641717,0.7649913667491666,0.5299827334983331,0.4003016257752166,0.11356582618871348
