sample,formula_decile,accounts,avg_formula_pd,observed_default_rate,calibration_gap
train_pre_2016,1,18301,0.03278509371072619,0.03278509371072619,0.0
train_pre_2016,2,18300,0.05382513661202186,0.05382513661202186,0.0
train_pre_2016,3,18300,0.07546448087431694,0.07546448087431694,0.0
train_pre_2016,4,18300,0.08256830601092896,0.08256830601092896,0.0
train_pre_2016,5,18300,0.1051912568306011,0.1051912568306011,0.0
train_pre_2016,6,18300,0.11666666666666667,0.11666666666666667,0.0
train_pre_2016,7,18300,0.15131147540983605,0.15131147540983605,0.0
train_pre_2016,8,18300,0.193224043715847,0.193224043715847,0.0
train_pre_2016,9,18300,0.296120218579235,0.296120218579235,0.0
train_pre_2016,10,18301,0.5089885798590241,0.5089885798590241,0.0
validation_2016,1,10760,0.03278509371072619,0.03912639405204461,0.006341300341318419
validation_2016,2,8252,0.05382513661202186,0.06568104701890451,0.01185591040688265
validation_2016,3,8093,0.07546448087431694,0.08550599283331274,0.010041511958995802
validation_2016,4,8964,0.08256830601092896,0.10051316376617582,0.01794485775524686
validation_2016,5,8385,0.1051912568306011,0.13106738223017292,0.02587612539957182
validation_2016,6,9346,0.11666666666666668,0.1539696126685213,0.03730294600185462
validation_2016,7,9228,0.15131147540983605,0.2035110533159948,0.052199577906158756
validation_2016,8,9664,0.193224043715847,0.2523799668874172,0.0591559231715702
validation_2016,9,6518,0.296120218579235,0.34228290886775087,0.046162690288515884
validation_2016,10,5967,0.5089885798590241,0.5961119490531255,0.08712336919410135
test_2017,1,8115,0.03278509371072619,0.027972889710412816,-0.004812204000313371
test_2017,2,5235,0.05382513661202186,0.05711556829035339,0.003290431678331533
test_2017,3,4473,0.07546448087431694,0.07489380728817349,-0.000570673586143447
test_2017,4,4349,0.08256830601092896,0.08300758795125317,0.0004392819403242071
test_2017,5,3978,0.1051912568306011,0.11940673705379588,0.014215480223194785
test_2017,6,4127,0.11666666666666667,0.14635328325660285,0.029686616589936182
test_2017,7,3795,0.15131147540983605,0.2134387351778656,0.06212725976802955
test_2017,8,5077,0.193224043715847,0.22473901910577113,0.03151497538992412
test_2017,9,4115,0.296120218579235,0.3037667071688943,0.007646488589659328
test_2017,10,3105,0.5089885798590241,0.5735909822866344,0.06460240242761028
