sample,model_name,rows,observed_default_rate,average_pd_or_score,calibration_gap,auc,gini,ks,brier_score,excluded_features,feature_count
train_pre_2016,"With mort_acc, without revol_util",183002,0.16161572004677544,0.16163127012886344,-1.5550082088006123e-05,0.7691717226028434,0.5383434452056868,0.4024685748331303,0.1133012434259361,revol_util_band_exp,14
validation_2016,"With mort_acc, without revol_util",85177,0.17844018925296734,0.145304619688336,0.033135569564631345,0.7643559095056147,0.5287118190112294,0.3849619399806066,0.12363415055570535,revol_util_band_exp,14
test_2017,"With mort_acc, without revol_util",46369,0.1570661433285169,0.14092630898660935,0.01613983434190755,0.7851715102139356,0.5703430204278712,0.42336286030623305,0.10921076884750047,revol_util_band_exp,14
train_pre_2016,Without mort_acc and without revol_util,183002,0.16161572004677544,0.16153100738258405,8.471266419138312e-05,0.7678170659673407,0.5356341319346813,0.39885972470991393,0.11370582532954425,"mort_acc_band_exp, revol_util_band_exp",13
validation_2016,Without mort_acc and without revol_util,85177,0.17844018925296734,0.14410084845772364,0.0343393407952437,0.7616358574104773,0.5232717148209547,0.38233437181259855,0.12432728000012586,"mort_acc_band_exp, revol_util_band_exp",13
test_2017,Without mort_acc and without revol_util,46369,0.1570661433285169,0.138975326553806,0.01809081677471089,0.7809041342022062,0.5618082684044123,0.41877971655064333,0.11021678663821428,"mort_acc_band_exp, revol_util_band_exp",13
