vintage_quarter,vintage_month,accounts,matured_accounts,bad_accounts,ead,expected_loss,avg_pd,avg_score,avg_fico,avg_dti,high_dti_share,vintage_bad_rate,el_rate,maturity_status
2007Q2,2007-06,23,23,3,85350,5167.89524336006,0.1568771802525919,509.6050338773792,713.7391304347826,8.894347826086957,0.0,0.13043478260869565,0.060549446319391444,Matured outcome usable
2007Q3,2007-07,62,62,7,341625,23016.852552545344,0.1752304090284743,502.28724313353274,700.4677419354839,8.90516129032258,0.0,0.11290322580645161,0.06737461413112432,Matured outcome usable
2007Q3,2007-08,72,72,20,503300,38194.82146999967,0.17454019444812363,501.0101809680316,698.5277777777778,10.005,0.0,0.2777777777777778,0.07588877701172198,Matured outcome usable
2007Q3,2007-09,53,53,13,372950,31205.806905348785,0.19537297435209913,491.5908431741344,686.2452830188679,8.310943396226415,0.0,0.24528301886792453,0.08367289691741195,Matured outcome usable
2007Q4,2007-10,105,105,34,753225,64280.340422702524,0.19852019012443484,488.6085628014101,685.8571428571429,10.693523809523809,0.0,0.3238095238095238,0.08534015788469916,Matured outcome usable
2007Q4,2007-11,112,112,34,1008650,78039.32584769226,0.20363015168509652,486.4642212969758,685.3928571428571,11.537232142857144,0.0,0.30357142857142855,0.07737007470152409,Matured outcome usable
2007Q4,2007-12,172,172,47,1887175,143380.18260973823,0.19355002071174957,490.917918649422,690.8081395348837,12.315813953488373,0.0,0.27325581395348836,0.07597609263038045,Matured outcome usable
2008Q1,2008-01,305,305,84,2926000,222103.52350974514,0.189421943264025,493.84037714119165,696.1967213114754,12.941180327868853,0.0,0.2754098360655738,0.07590687748111591,Matured outcome usable
2008Q1,2008-02,306,306,61,2959225,223583.00167463897,0.19031909593681548,493.0034348859211,698.0294117647059,13.233464052287582,0.0,0.19934640522875818,0.07555457988988298,Matured outcome usable
2008Q1,2008-03,402,402,89,4150050,308047.9660784134,0.19155371890563594,492.7227129459127,693.9402985074627,12.889129353233832,0.0,0.22139303482587064,0.074227531253458,Matured outcome usable
2008Q2,2008-04,259,259,63,2433875,185953.69026224196,0.1922821310902369,492.0084968941299,696.2277992277992,15.06092664092664,0.0,0.24324324324324326,0.07640231740013023,Matured outcome usable
2008Q2,2008-05,115,115,25,628900,48533.943268462695,0.192160977608452,491.97616971484314,697.1304347826087,14.509652173913043,0.0,0.21739130434782608,0.0771727512616675,Matured outcome usable
2008Q2,2008-06,124,124,22,660175,49184.80792986526,0.18240029990975104,496.44851576066065,694.7822580645161,11.506612903225806,0.0,0.1774193548387097,0.07450268175842051,Matured outcome usable
2008Q3,2008-07,141,141,30,856475,67306.87357989556,0.19702208105803573,490.064557420961,692.4609929078014,13.169645390070922,0.0,0.2127659574468085,0.078585917370496,Matured outcome usable
2008Q3,2008-08,100,100,12,592450,48720.57583130098,0.1952380107830899,489.99291031048756,692.85,13.919,0.0,0.12,0.08223575969499701,Matured outcome usable
2008Q3,2008-09,57,57,10,317675,25112.654537924922,0.1937953188091281,491.40814374951555,692.1754385964912,13.985263157894737,0.0,0.17543859649122806,0.07905140328299338,Matured outcome usable
2008Q4,2008-10,122,122,21,962550,62452.510304920754,0.16986987103162293,503.4975977933141,705.1967213114754,12.26844262295082,0.0,0.1721311475409836,0.06488235448020441,Matured outcome usable
2008Q4,2008-11,209,209,39,2064900,130523.22573681913,0.1653618681536022,505.4478430782521,711.3540669856459,12.292153110047847,0.0,0.18660287081339713,0.06321043427614854,Matured outcome usable
2008Q4,2008-12,253,253,40,2566975,156122.91278012344,0.16625807229878334,505.1504796626587,712.7312252964427,13.093636363636364,0.0,0.15810276679841898,0.06081980260038506,Matured outcome usable
2009Q1,2009-01,269,269,41,2470125,156303.72702231258,0.16204616126933816,507.875111468868,712.446096654275,12.251635687732342,0.0,0.1524163568773234,0.06327765883196704,Matured outcome usable
2009Q1,2009-02,302,302,41,2714925,172683.8143801827,0.16675531995278692,504.8404337718218,712.6125827814569,12.851192052980132,0.0,0.1357615894039735,0.06360537192746861,Matured outcome usable
2009Q1,2009-03,324,324,41,3061300,186129.28513896905,0.16373554273351484,506.5593826510009,712.9876543209876,12.232191358024691,0.0,0.12654320987654322,0.060800733393972836,Matured outcome usable
2009Q2,2009-04,333,333,49,3079475,178906.9391964183,0.15798030393021117,510.1755863870563,717.9459459459459,11.39018018018018,0.0,0.14714714714714713,0.05809657139493527,Matured outcome usable
2009Q2,2009-05,359,359,51,3443300,194120.76210500597,0.15609434782837014,510.2978001520358,716.2896935933147,12.551253481894149,0.0,0.14206128133704735,0.056376372115414276,Matured outcome usable
2009Q2,2009-06,406,406,58,3592300,204521.4389509158,0.1558192245971435,510.72383015319366,717.0985221674877,12.222487684729064,0.0,0.14285714285714285,0.056933284789943986,Matured outcome usable
2009Q3,2009-07,411,411,58,3876150,228621.97367832225,0.15891649762047666,509.06120457991017,715.5401459854014,12.621946472019465,0.0,0.1411192214111922,0.05898171476292771,Matured outcome usable
2009Q3,2009-08,446,446,50,4318650,241219.53411765277,0.1549052521026684,511.41335266496657,719.1973094170404,12.955650224215248,0.0,0.11210762331838565,0.05585530990417208,Matured outcome usable
2009Q3,2009-09,507,507,66,5107225,289934.5058296175,0.15615628637864426,510.27270994465965,717.9171597633136,12.752662721893492,0.0,0.1301775147928994,0.05676947967430797,Matured outcome usable
2009Q4,2009-10,604,604,100,6289450,363980.5146344766,0.15916470300280577,509.2273975995781,717.9023178807947,12.766307947019868,0.0,0.16556291390728478,0.05787159682237344,Matured outcome usable
