sample,logistic_calibration_decile,accounts,avg_logistic_pd,observed_default_rate,calibration_gap
train_pre_2016,1,18302,0.0216776530017614,0.02365861654463993,0.001980963542878529
train_pre_2016,2,18299,0.0403327035843246,0.0425706322749877,0.0022379286906631032
train_pre_2016,3,18300,0.05673982724669008,0.0614207650273224,0.004680937780632326
train_pre_2016,4,18300,0.07445542232513072,0.0753551912568306,0.0008997689316998791
train_pre_2016,5,18300,0.09513111175676091,0.09759562841530055,0.0024645166585396394
train_pre_2016,6,18300,0.12113251741185639,0.12442622950819672,0.003293712096340329
train_pre_2016,7,18300,0.15749697153971667,0.149672131147541,-0.00782484039217568
train_pre_2016,8,18300,0.21511254469620958,0.2018032786885246,-0.013309266007684978
train_pre_2016,9,18300,0.3159452316343278,0.300327868852459,-0.015617362781868815
train_pre_2016,10,18301,0.5187829868076343,0.5393147915414458,0.020531804733811443
validation_2016,1,9603,0.021425349820521116,0.025825262938665,0.004399913118143885
validation_2016,2,8931,0.04029546999703475,0.049938416750643824,0.009642946753609077
validation_2016,3,8978,0.056946594465077535,0.0790822009356204,0.02213560647054287
validation_2016,4,8961,0.07451856588859332,0.09429751143845554,0.019778945549862217
validation_2016,5,9015,0.0951127867319736,0.12168607875762617,0.026573292025652576
validation_2016,6,8862,0.1212474112110954,0.15346422929361317,0.032216818082517765
validation_2016,7,8826,0.1574843308266832,0.20054384772263767,0.04305951689595447
validation_2016,8,8289,0.214482373403934,0.2496079141030281,0.0351255406990941
validation_2016,9,7075,0.31317007725091406,0.3602826855123675,0.047112608261453415
validation_2016,10,6637,0.5185480921894758,0.6185023353924967,0.09995424320302082
test_2017,1,6322,0.020988830729192467,0.021195824106295474,0.0002069933771030076
test_2017,2,5251,0.040242562217332904,0.039611502570938865,-0.0006310596463940388
test_2017,3,4991,0.05669290945453322,0.059707473452213985,0.0030145639976807623
test_2017,4,4747,0.07455003525889371,0.0781546239730356,0.0036045887141418903
test_2017,5,4605,0.09502272628649668,0.10336590662323561,0.008343180336738934
test_2017,6,4465,0.12105420603560403,0.1316909294512878,0.010636723415683766
test_2017,7,4299,0.15751749428878173,0.1832984414980228,0.025780947209241067
test_2017,8,4212,0.2147509709893032,0.23528015194681862,0.02052918095751541
test_2017,9,3893,0.3149214652294778,0.34189571024916515,0.02697424501968737
test_2017,10,3584,0.5161680561925377,0.5853794642857143,0.06921140809317661
