sample,decile,accounts,avg_pd,observed_default,gap,action,risk_note
validation_2016,9,7075,0.31317007725091406,0.3602826855123675,0.047112608261453415,Monitor high-risk tail,"Average calibration gap is not enough; high-risk tail drives cutoff, EL, pricing and decline/manual-review policy."
validation_2016,10,6637,0.5185480921894758,0.6185023353924967,0.09995424320302082,Recalibrate high-risk tail before production use,"Average calibration gap is not enough; high-risk tail drives cutoff, EL, pricing and decline/manual-review policy."
test_2017,9,3893,0.3149214652294778,0.34189571024916515,0.02697424501968737,Monitor high-risk tail,"Average calibration gap is not enough; high-risk tail drives cutoff, EL, pricing and decline/manual-review policy."
test_2017,10,3584,0.5161680561925377,0.5853794642857143,0.06921140809317661,Recalibrate high-risk tail before production use,"Average calibration gap is not enough; high-risk tail drives cutoff, EL, pricing and decline/manual-review policy."
