stage,fico_band,accounts,ead,avg_pd,avg_lgd,ecl_12m_or_base,ecl_lifetime_proxy,ecl_rate_base,ecl_rate_lifetime_proxy,ifrs9_note
Stage 1,A+,70579,1044362025,0.0831991063078042,0.28,24329196.399706434,24329196.399706434,0.023295749766185182,0.023295749766185182,Bridge only: public data does not support audited IFRS 9 staging or lifetime PD.
Stage 1,A-,175564,2734239750,0.1291079462872846,0.32,112963865.20945875,112963865.20945875,0.04131454281193109,0.04131454281193109,Bridge only: public data does not support audited IFRS 9 staging or lifetime PD.
Stage 1,B,488229,7148041825,0.1976529208661941,0.38,536875911.1702889,536875911.1702889,0.07510810992915377,0.07510810992915377,Bridge only: public data does not support audited IFRS 9 staging or lifetime PD.
Stage 1,C,344051,4305016050,0.2530178814906163,0.4600000000000001,501053178.74688655,501053178.74688655,0.1163882254856835,0.1163882254856835,Bridge only: public data does not support audited IFRS 9 staging or lifetime PD.
Stage 2,D,9,18125,0.47058823529411753,0.55,4691.176470588236,11727.94117647059,0.25882352941176473,0.6470588235294118,Bridge only: public data does not support audited IFRS 9 staging or lifetime PD.
Stage 3,A+,6405,115218925,0.0831991063078042,0.28,2684111.2451288584,9394389.357951004,0.023295749766185186,0.08153512418164814,Bridge only: public data does not support audited IFRS 9 staging or lifetime PD.
Stage 3,A-,26027,448764450,0.1291079462872846,0.31999999999999995,18540498.081997707,64891743.286991976,0.04131454281193109,0.1446008998417588,Bridge only: public data does not support audited IFRS 9 staging or lifetime PD.
Stage 3,B,120272,1942507025,0.1976529208661941,0.38,145898031.17185345,510643109.1014871,0.07510810992915377,0.26287838475203823,Bridge only: public data does not support audited IFRS 9 staging or lifetime PD.
Stage 3,C,116537,1679498850,0.2530178814906163,0.46,195473890.85674617,684158617.9986116,0.11638822548568352,0.4073587891998923,Bridge only: public data does not support audited IFRS 9 staging or lifetime PD.
Stage 3,D,8,31450,0.4705882352941176,0.55,8140.0,28490.000000000004,0.25882352941176473,0.9058823529411766,Bridge only: public data does not support audited IFRS 9 staging or lifetime PD.
