risk_grade,policy_action,accounts,ead_proxy,expected_loss,avg_pd,avg_lgd,avg_score,ead_share,expected_loss_share,el_rate
A - Low,Auto approve,134769,2177929800,55637596.13435164,0.08523193182731731,0.2983107391165624,555.1005987184961,0.11216209803669845,0.03636355496174939,0.025546092502316483
B - Moderate,Approve standard,269536,4294368650,211214411.77164474,0.13873279047448162,0.35115324112548973,515.7157069265247,0.22115744847562321,0.1380452680346786,0.04918404286777865
C - Watch,Approve with limit/pricing control,269536,3842894375,269744161.6731733,0.1834011143116742,0.38322843701768966,491.6996927905936,0.19790679003217965,0.17629907347052487,0.07019296794312056
D - High,Manual review,404304,5550822325,526945104.92144275,0.22520926564990093,0.42570278800110806,473.24479551896934,0.2858640704585356,0.34440016492382153,0.09493099834022209
E - Very High,Decline or require mitigants,269536,3551683325,466496044.2619922,0.30122685232731017,0.4411884497803633,444.90479200544274,0.18290959299696305,0.3048919386092256,0.13134505573128263
