feature,bin,train_woe,validation_2016_woe,test_2017_woe,validation_abs_diff,test_abs_diff,stability_flag,action
fico_band_exp,640-679,-0.3331616921074091,-0.40822736339847376,-0.5243278997651932,0.07506567129106467,0.19116620765778414,Stable,Accept for benchmark
fico_band_exp,680-719,0.054452907625156595,0.05511793194376269,0.00922660453852791,0.0006650243186060931,0.045226303086628686,Stable,Accept for benchmark
fico_band_exp,720-759,0.7271020069739715,0.7456516738339153,0.8077149206365897,0.018549666859943748,0.08061291366261814,Stable,Accept for benchmark
fico_band_exp,760-799,1.1549984327310607,1.1269003890705538,1.3291812043873816,0.028098043660506944,0.1741827716563209,Stable,Accept for benchmark
fico_band_exp,800+,1.5079009577392148,1.587886814584213,1.7369212637951437,0.07998585684499826,0.22902030605592882,Stable,Accept for benchmark
dti_band_exp,10-20,0.21210312879870627,0.2679838607418229,0.2670388682809352,0.05588073194311663,0.054935739482228935,Stable,Accept for benchmark
dti_band_exp,20-30,-0.2068174781655935,-0.23163307883539574,-0.3190447265499368,0.024815600669802235,0.11222724838434331,Stable,Accept for benchmark
dti_band_exp,30+,-0.6902521901797138,-0.7466826002587387,-0.6986042995043759,0.05643041007902483,0.008352109324662016,Stable,Accept for benchmark
dti_band_exp,<=10,0.48194341360086906,0.5210791822991203,0.5316072812732315,0.03913576869825125,0.04966386767236247,Stable,Accept for benchmark
income_band_exp,100-150k,0.36855573235317146,0.33863931670372566,0.20755130313517883,0.029916415649445804,0.16100442921799263,Stable,Accept for benchmark
income_band_exp,150k+,0.45590080237053593,0.49846077502716546,0.49709530394925466,0.04255997265662953,0.041194501578718734,Stable,Accept for benchmark
income_band_exp,30-50k,-0.1912114336635894,-0.22155838724120677,-0.17769401682048516,0.03034695357761738,0.01351741684310423,Stable,Accept for benchmark
income_band_exp,50-75k,-0.03896595369195478,-0.03728840739035286,-0.024000509156414336,0.001677546301601926,0.014965444535540447,Stable,Accept for benchmark
income_band_exp,75-100k,0.11718174185078184,0.11712731001458963,0.08707543735860633,5.443183619220637e-05,0.03010630449217551,Stable,Accept for benchmark
income_band_exp,<30k,-0.2719116548199607,-0.3664019269464904,-0.28352069374490796,0.09449027212652966,0.011609038924947246,Stable,Accept for benchmark
loan_amount_band_exp,10-15k,-0.14869966080016442,-0.11028303686543114,-0.1265568254934918,0.038416623934733274,0.02214283530667263,Stable,Accept for benchmark
loan_amount_band_exp,15-25k,-0.26187875438986374,-0.29826888650098227,-0.4137635791115143,0.03639013211111852,0.15188482472165055,Stable,Accept for benchmark
loan_amount_band_exp,25-35k,-0.2689160379361673,-0.3303106755799391,-0.5856462991898504,0.06139463764377179,0.31673026125368314,Review,Review bin stability before production
loan_amount_band_exp,5-10k,0.40639182438263716,0.3370793013615096,0.38427867525948134,0.06931252302112756,0.022113149123155817,Stable,Accept for benchmark
loan_amount_band_exp,<=5k,0.4566550688370621,0.5097114741431897,0.806283087118778,0.05305640530612765,0.34962801828171597,Review,Review bin stability before production
revol_util_band_exp,20-40,0.17574448143786658,0.1667950813937104,0.223089777342328,0.008949400044156175,0.047345295904461404,Stable,Accept for benchmark
revol_util_band_exp,40-60,-0.00465037669072815,-0.05365181552292473,-0.14953421589541868,0.04900143883219658,0.14488383920469053,Stable,Accept for benchmark
revol_util_band_exp,60-80,-0.09756456881114883,-0.15052206321388692,-0.30632285288130257,0.05295749440273809,0.20875828407015373,Stable,Accept for benchmark
revol_util_band_exp,80+,-0.18274864918305886,-0.21791356373271886,-0.37121622393990356,0.035164914549660004,0.1884675747568447,Stable,Accept for benchmark
revol_util_band_exp,<=20,0.26790856232273497,0.33807367068026845,0.6057624550660896,0.07016510835753348,0.33785389274335464,Review,Review bin stability before production
revol_bal_band_exp,15-30k,-0.012987889015309348,-0.031139025865978064,-0.1826696259364849,0.018151136850668714,0.16968173692117555,Stable,Accept for benchmark
revol_bal_band_exp,2.5-7.5k,0.0021522893978916644,-0.013644947228589345,0.13109953178898726,0.01579723662648101,0.1289472423910956,Stable,Accept for benchmark
revol_bal_band_exp,30-60k,0.13783766576440182,0.18059204576045293,0.05430429485017231,0.04275437999605111,0.08353337091422951,Stable,Accept for benchmark
revol_bal_band_exp,60k+,0.40920046463771986,0.5769642240423744,0.5967844053275875,0.1677637594046545,0.1875839406898676,Stable,Accept for benchmark
revol_bal_band_exp,7.5-15k,-0.03992855884819922,-0.04714143979730354,-0.08627283962703791,0.007212880949104321,0.04634428077883869,Stable,Accept for benchmark
revol_bal_band_exp,<=2.5k,-0.10747190787826459,-0.0460819248077793,0.18002447424501347,0.06138998307048529,0.28749638212327805,Review,Review bin stability before production
