risk_grade,policy_action,accounts,good_accounts,bad_accounts,observed_default_rate,avg_pd,avg_score,ead_proxy,expected_loss,el_rate,account_share
A - Low,Auto approve,124390,113788,10602,0.08523193182731731,0.08523193182731731,555.1005987184961,2009184250,51375376.412332185,0.02557026634681821,0.09631279708189026
B - Moderate,Approve standard,255787,220290,35497,0.13877562190416246,0.13877562190416246,515.6898270345939,4080103425,200877946.9549069,0.04923354288620929,0.19805098020086395
C - Watch,Approve with limit/pricing control,258759,211302,47457,0.18340231644116725,0.18340231644116725,491.6991134801602,3688856775,259035914.8908935,0.07022119065354428,0.20035214293844233
D - High,Manual review,391570,303353,88217,0.22529049722910335,0.22529049722910335,473.2115180036387,5375027850,510427455.00221425,0.09496275540269326,0.30318515920376055
E - Very High,Decline or require mitigants,261015,182385,78630,0.3012470547669674,0.3012470547669674,444.8978506825102,3429317125,450802717.92550564,0.13145553516737116,0.20209892057504292
