sample,woe_logistic_decile,accounts,avg_woe_logistic_pd,observed_default_rate,calibration_gap
train_pre_2016,1,18301,0.02383332044410406,0.026993060488497898,0.003159740044393837
train_pre_2016,2,18300,0.044198318820068354,0.048688524590163935,0.004490205770095582
train_pre_2016,3,18301,0.06125370076154236,0.06606196382711327,0.00480826306557091
train_pre_2016,4,18299,0.07882393793547117,0.08262746598174764,0.0038035280462764692
train_pre_2016,5,18300,0.09860179382133663,0.09863387978142077,3.208596008413833e-05
train_pre_2016,6,18300,0.12267057308567657,0.12120218579234973,-0.0014683872933268366
train_pre_2016,7,18300,0.1556439809142626,0.1489071038251366,-0.006736877089125987
train_pre_2016,8,18300,0.20940153735911374,0.19158469945355192,-0.017816837905561822
train_pre_2016,9,18300,0.3122161031338625,0.30743169398907105,-0.004784409144791446
train_pre_2016,10,18301,0.509485965909966,0.5240150811431069,0.014529115233140932
validation_2016,1,10415,0.023348259233048535,0.033029284685549685,0.00968102545250115
validation_2016,2,8912,0.0440493858122272,0.06440754039497307,0.02035815458274587
validation_2016,3,8802,0.061204092605675754,0.081799591002045,0.02059549839636924
validation_2016,4,8833,0.0789056334735813,0.10030567191214763,0.021400038438566332
validation_2016,5,8819,0.09858099958194473,0.12541104433609251,0.026830044754147783
validation_2016,6,8906,0.12275941207809304,0.15360431169997754,0.030844899621884497
validation_2016,7,8939,0.15585164687267725,0.19129656561136593,0.035444918738688685
validation_2016,8,8451,0.20905236896093785,0.25511773754585254,0.046065368584914695
validation_2016,9,6978,0.31022986425273924,0.3704499856692462,0.060220121416506955
validation_2016,10,6122,0.5096854591798747,0.6125449199607971,0.10285946078092234
test_2017,1,7061,0.02277819889565777,0.02577538592267384,0.002997187027016072
test_2017,2,5415,0.04409662273133621,0.050784856879039705,0.0066882341477034965
test_2017,3,5012,0.061233601291823786,0.06803671189146049,0.0068031105996367025
test_2017,4,4576,0.07879598239691665,0.08216783216783216,0.003371849770915508
test_2017,5,4349,0.0985407873235419,0.11083007587951253,0.012289288555970626
test_2017,6,4377,0.12279574241806371,0.14096413068311628,0.01816838826505257
test_2017,7,4260,0.155847627826221,0.18028169014084508,0.024434062314624083
test_2017,8,4109,0.20932158161016506,0.24117790216597712,0.03185632055581206
test_2017,9,3886,0.3106011095997433,0.33968090581574883,0.029079796216005538
test_2017,10,3324,0.5050357986659237,0.5809265944645006,0.07589079579857683
