pd_cutoff,approved_accounts,review_or_decline_accounts,approval_rate,approved_default_rate,review_or_decline_default_rate,bad_capture_in_review_or_decline,approved_ead_proxy,approved_expected_loss,approved_el_rate
0.1,124390,1167131,0.09631279708189026,0.08523193182731731,0.21402995893348734,0.9592861833389016,2009184250.0,51375376.41233219,0.025570266346818214
0.12,124390,1167131,0.09631279708189026,0.08523193182731731,0.21402995893348734,0.9592861833389016,2009184250.0,51375376.41233219,0.025570266346818214
0.15,380177,911344,0.2943637772827542,0.12125667781059875,0.2351516002738812,0.8229705494944375,6089287675.0,252253323.3672391,0.041425752375418706
0.18,509537,781984,0.3945247502750633,0.13500884135990124,0.24503186765969637,0.7358248560884475,8005328275.0,379252154.02684796,0.04737496589755377
0.2,638936,652585,0.49471592022119654,0.14642468103221606,0.25567090877050497,0.6407261053060065,9778144450.0,511289238.2581326,0.0522889839552465
0.22,768859,522662,0.5953128133417884,0.15642920223343942,0.2681101744530882,0.5381312811296337,11761351475.0,675030483.1196429,0.05739395549520748
0.25,1030506,261015,0.7979010794249571,0.1763919860728613,0.3012470547669674,0.3019550466008456,15153172300.0,1021716693.2603469,0.06742592726015179
0.3,1160927,130594,0.8988835644174582,0.1869919469527369,0.3317074291315068,0.16635369024166388,16979529025.0,1239139261.715446,0.07297842360002951
0.35,1291521,0,1.0,0.20162506068426297,,0.0,18582489425.0,1472519411.1858525,0.07924231126992032
