feature,term_band_exp,fico_band_exp,dti_band_exp,verification_status_exp,loan_amount_band_exp,mort_acc_band_exp,home_ownership_exp,income_band_exp,purpose_exp,revol_util_band_exp,open_acc_band_exp,emp_length_exp,pub_rec_band_exp,bankruptcy_band_exp,revol_bal_band_exp
term_band_exp,1.0,0.0019169926146757775,0.07841899049626518,0.13749184738901113,0.4109787685571713,-0.11854500914125594,-0.1071041342241965,-0.1019766226449272,0.04448766535787784,0.06512135065353852,0.0815948777458258,-0.05918714501733267,-0.026865561049984797,-0.017905288441702933,-0.05940259948203274
fico_band_exp,0.0019169926146757775,1.0,0.04286314809483706,0.10672437307068161,-0.11022769607253695,0.08968436902896841,0.1082618635298464,0.11794932816212958,0.02183084160134437,0.39666306664273426,-0.047641352579763985,0.01177568307517721,0.24027090986865987,0.2125388608852214,0.041150925197279975
dti_band_exp,0.07841899049626518,0.04286314809483706,1.0,0.05463083893313373,0.02057447954765351,0.05537830805769521,0.012061146023483448,0.22570281527551006,0.02454611062639291,0.141705151730778,0.25719870601804246,0.011027254205092981,-0.0558831841680086,-0.038707878528618095,-0.11051446734368618
verification_status_exp,0.13749184738901113,0.10672437307068161,0.05463083893313373,1.0,0.16861044870955458,-0.006802242876043931,0.026528305597005947,-0.08838121531446692,0.06851786842944153,0.07679101295016419,0.009451672646825518,0.06601519811773497,0.06367732431527658,0.04106397146759222,-0.08148848014366086
loan_amount_band_exp,0.4109787685571713,-0.11022769607253695,0.02057447954765351,0.16861044870955458,1.0,-0.20163984071626023,-0.16554211360277113,-0.3843477152487841,-0.0001354076132786186,0.10642877060911508,0.17187739263149698,-0.08505893905890567,-0.11466213356571037,-0.11906982372229699,-0.20090389074214268
mort_acc_band_exp,-0.11854500914125594,0.08968436902896841,0.05537830805769521,-0.006802242876043931,-0.20163984071626023,1.0,0.5798138865915944,0.3566605864499299,0.0111576731847035,-0.014238188890992102,-0.13119666126333362,0.11032274008260422,-0.03408584104939759,-0.04825897362344288,0.20792594318250454
home_ownership_exp,-0.1071041342241965,0.1082618635298464,0.012061146023483448,0.026528305597005947,-0.16554211360277113,0.5798138865915944,1.0,0.24213978290422117,0.018441427887423152,-0.018129512484405974,-0.1328687789577179,0.11386171776652598,0.008831361944209179,0.02100345174694554,0.15722681951304934
income_band_exp,-0.1019766226449272,0.11794932816212958,0.22570281527551006,-0.08838121531446692,-0.3843477152487841,0.3566605864499299,0.24213978290422117,1.0,0.008509374518062846,-0.06827387563221196,-0.20529892532327082,0.14697816065125033,0.06120274427984983,0.09181287096789352,0.3321828110477824
purpose_exp,0.04448766535787784,0.02183084160134437,0.02454611062639291,0.06851786842944153,-0.0001354076132786186,0.0111576731847035,0.018441427887423152,0.008509374518062846,1.0,-0.043220331452844214,-0.0033136437858834354,-0.018749120034418535,0.03052500349135541,0.024438640577765784,0.05782034610708223
revol_util_band_exp,0.06512135065353852,0.39666306664273426,0.141705151730778,0.07679101295016419,0.10642877060911508,-0.014238188890992102,-0.018129512484405974,-0.06827387563221196,-0.043220331452844214,1.0,-0.14124078815892482,-0.02153226030904344,-0.09848383386238206,-0.10133541790113278,-0.21193583030298818
open_acc_band_exp,0.0815948777458258,-0.047641352579763985,0.25719870601804246,0.009451672646825518,0.17187739263149698,-0.13119666126333362,-0.1328687789577179,-0.20529892532327082,-0.0033136437858834354,-0.14124078815892482,1.0,-0.05475510700994913,-0.039883167693630185,-0.0425516218849862,-0.2013497673671097
emp_length_exp,-0.05918714501733267,0.01177568307517721,0.011027254205092981,0.06601519811773497,-0.08505893905890567,0.11032274008260422,0.11386171776652598,0.14697816065125033,-0.018749120034418535,-0.02153226030904344,-0.05475510700994913,1.0,0.014921429572387132,0.019368797725185023,0.05920643820130505
pub_rec_band_exp,-0.026865561049984797,0.24027090986865987,-0.0558831841680086,0.06367732431527658,-0.11466213356571037,-0.03408584104939759,0.008831361944209179,0.06120274427984983,0.03052500349135541,-0.09848383386238206,-0.039883167693630185,0.014921429572387132,1.0,0.7880933006500658,0.12337398060694973
bankruptcy_band_exp,-0.017905288441702933,0.2125388608852214,-0.038707878528618095,0.04106397146759222,-0.11906982372229699,-0.04825897362344288,0.02100345174694554,0.09181287096789352,0.024438640577765784,-0.10133541790113278,-0.0425516218849862,0.019368797725185023,0.7880933006500658,1.0,0.11762609838906116
revol_bal_band_exp,-0.05940259948203274,0.041150925197279975,-0.11051446734368618,-0.08148848014366086,-0.20090389074214268,0.20792594318250454,0.15722681951304934,0.3321828110477824,0.05782034610708223,-0.21193583030298818,-0.2013497673671097,0.05920643820130505,0.12337398060694973,0.11762609838906116,1.0
