sample,model_name,rows,observed_default_rate,average_pd_or_score,calibration_gap,auc,gini,ks,brier_score,feature_scope,comment
test_2017,Expanded WOE with term,46369,0.1570661433285169,0.1401490591443809,0.01691708418413601,0.7648588259721735,0.529717651944347,0.399813768782547,0.11357572523470065,15 selected WOE features,Current expanded formula scorecard.
test_2017,Expanded WOE without term,46369,0.1570661433285169,0.14040412153590784,0.01666202179260906,0.7342129512301299,0.4684259024602597,0.34957428553725456,0.11951295591248817,14 selected WOE features,Sensitivity check: removes product-tenor variable.
test_2017,Logistic with term,46369,0.1570661433285169,0.14269381419309954,0.014372329135417361,0.7931530982749875,0.586306196549975,0.43975519952625586,0.1078816029487304,17 candidate features,Current logistic challenger.
test_2017,Logistic without term,46369,0.1570661433285169,0.14324925262528915,0.013816890703227752,0.7659863227627859,0.5319726455255718,0.40411053214025056,0.11503224723480779,16 candidate features,Sensitivity check: removes product-tenor variable.
