variable,iv,iv_weight
fico_band,0.1113277287776325,0.3815160684139862
dti_extreme_or_missing_bin,0.0693846757506341,0.23777875459433326
high_dti_flag,0.0320687890931589,0.10989857125404198
home_ownership,0.029425827872076,0.10084123949034247
income_missing_or_invalid_bin,0.024024856662397,0.08233230803042156
purpose,0.0192462774093744,0.06595629111859434
high_amount_flag,0.0063253567754704,0.021676767098280116
