risk_grade,policy_action,accounts,ead_proxy,el_rate,funding_cost_rate,operating_cost_rate,capital_cost_rate,profit_margin_rate,required_rate,illustrative_offered_rate,risk_adjusted_profit_rate,economic_capital_rate,raroc_proxy,pricing_note
A - Low,Auto approve,134769,2177929800,0.025546092502316483,0.045,0.025,0.01,0.02,0.1255460925023165,0.1355460925023165,0.030000000000000013,0.04,0.7500000000000003,"Illustrative only: funding, operating, capital and margin assumptions must be owned by Finance/Risk."
B - Moderate,Approve standard,269536,4294368650,0.04918404286777865,0.045,0.025,0.015,0.02,0.15418404286777862,0.16418404286777863,0.029999999999999978,0.06,0.49999999999999967,"Illustrative only: funding, operating, capital and margin assumptions must be owned by Finance/Risk."
C - Watch,Approve with limit/pricing control,269536,3842894375,0.07019296794312056,0.045,0.025,0.025,0.02,0.18519296794312054,0.19519296794312055,0.029999999999999985,0.08,0.3749999999999998,"Illustrative only: funding, operating, capital and margin assumptions must be owned by Finance/Risk."
D - High,Manual review,404304,5550822325,0.09493099834022209,0.045,0.025,0.04,0.02,0.2249309983402221,0.2349309983402221,0.030000000000000006,0.11,0.27272727272727276,"Illustrative only: funding, operating, capital and margin assumptions must be owned by Finance/Risk."
E - Very High,Decline or require mitigants,269536,3551683325,0.13134505573128263,0.045,0.025,0.06,0.02,0.28134505573128266,0.29134505573128266,0.030000000000000027,0.15,0.20000000000000018,"Illustrative only: funding, operating, capital and margin assumptions must be owned by Finance/Risk."
